"","gene_node_idx","gene_node_name","Weight"
"383",382,"ERBIN",1
"1203",1202,"SMPD2",1
"745",744,"MAPKAP1",0.707106793288165
"1019",1018,"PRR5",0.707106793288165
"1023",1022,"PSTPIP1",0.707106793288165
"847",846,"NSMAF",0.688982241732851
"117",116,"BID",0.604070071508051
"835",834,"NOD2",0.520274087976419
"282",281,"CTSD",0.512014722284929
"1104",1103,"RICTOR",0.465356793877551
"165",164,"CASTOR2",0.408248275606987
"280",279,"CTNND1",0.40401756359077
"1308",1307,"TLR6",0.392115580507041
"105",104,"BAG4",0.377964483465703
"107",106,"BBC3",0.368463639327883
"37",36,"AFDN",0.357878511639201
"1179",1178,"SIPA1",0.356856889868233
"221",220,"CDON",0.353553397129005
"1318",1317,"TNFRSF1A",0.347283624592988
"138",137,"CACYBP",0.338406439213023
"834",833,"NOD1",0.318789270368759
"1303",1302,"TLR1",0.314991211671936
"697",696,"LTB",0.303158337080016
"234",233,"CLEC7A",0.298245757911443
"310",309,"DAB2IP",0.289215426690963
"1274",1273,"TELO2",0.276861798931198
"1329",1328,"TP73",0.25906327756294
"926",925,"PKN3",0.258198882450459
"696",695,"LTA",0.25464844524521
"406",405,"FBXW11",0.243484630873338
"54",53,"APBB1IP",0.238144828523521
"772",771,"MEFV",0.237312553791163
"1025",1024,"PTCH1",0.233309838462329
"164",163,"CASTOR1",0.228795810068037
"235",234,"CLIP1",0.223606794466938
"690",689,"LPIN1",0.223606794466938
"691",690,"LPIN2",0.223606794466938
"1350",1349,"ULK2",0.223606794466938
"391",390,"EVL",0.218482033579079
"894",893,"PFN1",0.217625053694474
"1354",1353,"VASP",0.217260682022019
"895",894,"PFN2",0.217095615098029
"1264",1263,"TBL1X",0.213267220124495
"192",191,"CD22",0.213200711837475
"201",200,"CD72",0.213200711837475
"276",275,"CTLA4",0.213200711837475
"672",671,"LILRA1",0.213200711837475
"673",672,"LILRA2",0.213200711837475
"674",673,"LILRA4",0.213200711837475
"675",674,"LILRA5",0.213200711837475
"676",675,"LILRA6",0.213200711837475
"677",676,"LILRB1",0.213200711837475
"678",677,"LILRB2",0.213200711837475
"679",678,"LILRB3",0.213200711837475
"680",679,"LILRB4",0.213200711837475
"681",680,"LILRB5",0.213200711837475
"870",869,"PDCD1",0.213200711837475
"1265",1264,"TBL1XR1",0.212784377208197
"1304",1303,"TLR2",0.211456961997923
"1026",1025,"PTCH2",0.209052301239643
"1343",1342,"TTI1",0.207207162579446
"190",189,"CD14",0.205916893878394
"1301",1300,"TLN1",0.205695430651317
"1302",1301,"TLN2",0.205684075879134
"1305",1304,"TLR3",0.20462142121714
"1319",1318,"TNFRSF1B",0.204602091605481
"323",322,"DLG1",0.203783273142605
"701",700,"LY96",0.202241837576889
"1204",1203,"SMURF1",0.198737924198278
"837",836,"NOG",0.196623536896043
"1205",1204,"SMURF2",0.194928356972853
"1174",1173,"SIAH1",0.193877622164503
"324",323,"DLG3",0.192126397912476
"212",211,"CDH1",0.191349800050692
"748",747,"MAPKAPK5",0.170655876776149
"1306",1305,"TLR4",0.165308619054013
"1247",1246,"SUGT1",0.163029248918164
"28",27,"ADGRB1",0.162221423077694
"41",40,"AIFM2",0.162221423077694
"178",177,"CCNG1",0.162221423077694
"205",204,"CD82",0.162221423077694
"246",245,"COP1",0.162221423077694
"315",314,"DDB2",0.162221423077694
"366",365,"EI24",0.162221423077694
"501",500,"GTSE1",0.162221423077694
"549",548,"IGFBP3",0.162221423077694
"908",907,"PIDD1",0.162221423077694
"951",950,"PMAIP1",0.162221423077694
"960",959,"PPM1D",0.162221423077694
"1091",1090,"RCHY1",0.162221423077694
"1131",1130,"RRM2",0.162221423077694
"1132",1131,"RRM2B",0.162221423077694
"1157",1156,"SESN1",0.162221423077694
"1159",1158,"SESN3",0.162221423077694
"1172",1171,"SHISA5",0.162221423077694
"1235",1234,"STEAP3",0.162221423077694
"1328",1327,"TP53I3",0.162221423077694
"1388",1387,"ZMAT3",0.162221423077694
"533",532,"HSPB1",0.161340790106056
"1113",1112,"ROCK1",0.160163894548549
"65",64,"ARHGEF12",0.159982482123356
"699",698,"LTBP1",0.158299894502481
"803",802,"NBL1",0.156929859692233
"1114",1113,"ROCK2",0.155935489873187
"1312",1311,"TNF",0.155005399911405
"424",423,"FMOD",0.14992674440076
"299",298,"CYCS",0.143844965471761
"1036",1035,"PTPN6",0.142675228250262
"695",694,"LSP1",0.138893266781612
"1152",1151,"SEC13",0.137644181165383
"308",307,"DAAM1",0.135264219441113
"309",308,"DAAM2",0.135197028772241
"1158",1157,"SESN2",0.133566002268645
"1164",1163,"SGK3",0.129867344305648
"1166",1165,"SH2B2",0.126537961462956
"74",73,"ATG16L1",0.126212159703581
"113",112,"BCL3",0.126019516182578
"121",120,"BMP6",0.125448047488016
"283",282,"CUL1",0.124575210875682
"300",299,"CYLD",0.119495527697238
"486",485,"GRB10",0.11393267021236
"123",122,"BMP8B",0.109551377164745
"122",121,"BMP8A",0.108927340336098
"1063",1062,"RAPGEF1",0.108206336705121
"168",167,"CBLB",0.107498688338043
"1184",1183,"SKP1",0.105404315808678
"1151",1150,"SCRIB",0.104014664089849
"1295",1294,"TIRAP",0.0984683671638496
"814",813,"NEO1",0.0982861623245833
"456",455,"GDF7",0.0970606969287679
"1315",1314,"TNFRSF10B",0.096657934134052
"1314",1313,"TNFRSF10A",0.096106151470414
"1153",1152,"SEH1L",0.0950522323113776
"133",132,"BTRC",0.0927403116902776
"776",775,"MIOS",0.0914581563672597
"925",924,"PKN2",0.0912715860364297
"325",324,"DLG4",0.0912001995251871
"1293",1292,"TICAM2",0.0898156586198629
"1366",1365,"WDR24",0.088804324136133
"1367",1366,"WDR59",0.0884104203403838
"1286",1285,"THBS1",0.0880999800409304
"210",209,"CDC37",0.0875561591818985
"1182",1181,"SIVA1",0.0848174139864581
"525",524,"HSP90AA1",0.084525294339446
"1324",1323,"TOLLIP",0.0831600482808132
"1280",1279,"TGFB3",0.0828285430355982
"1292",1291,"TICAM1",0.080371190759149
"167",166,"CBL",0.0791545606089865
"193",192,"CD247",0.0782344928838139
"1098",1097,"RGMB",0.077392389923023
"924",923,"PKN1",0.0764750560292333
"393",392,"EXOC7",0.0743803116458194
"1177",1176,"SIKE1",0.0738474107016547
"966",965,"PPP1R12C",0.0705721709328138
"964",963,"PPP1R12A",0.068485168856586
"965",964,"PPP1R12B",0.0671735189216623
"1325",1324,"TP53",0.0654805323239754
"1201",1200,"SMAD7",0.0639816580344529
"17",16,"ACVR1",0.0629500569243303
"75",74,"ATG5",0.0624007421963853
"1385",1384,"ZAP70",0.0602588090281875
"1246",1245,"SUFU",0.060107959277762
"1279",1278,"TGFB1",0.0576434245826494
"1103",1102,"RHOQ",0.0542378038108081
"746",745,"MAPKAPK2",0.0542279132800373
"1102",1101,"RHOA",0.0530622581048426
"1099",1098,"RGS14",0.051864060065431
"685",684,"LLGL2",0.0502954790543284
"684",683,"LLGL1",0.0467164521233227
"790",789,"MTOR",0.0464198148498604
"60",59,"ARAP3",0.0462608598626783
"526",525,"HSP90AB1",0.0462530993415909
"1163",1162,"SGK1",0.0433960035954726
"569",568,"IL23A",0.0430047673350407
"527",526,"HSP90B1",0.0407185110844639
"326",325,"DLG5",0.0399829491231583
"551",550,"IKBKE",0.0373255265599085
"73",72,"ATG12",0.0371635871447189
"646",645,"KRIT1",0.0369359187140753
"843",842,"NPRL3",0.0355901942076192
"319",318,"DEPDC5",0.0337822935897798
"747",746,"MAPKAPK3",0.0323458345908554
"842",841,"NPRL2",0.0318299386328104
"460",459,"GLI1",0.0283702322517437
"885",884,"PDPK1",0.027650311136439
"124",123,"BMPR1A",0.0233119767556742
"1061",1060,"RAP1B",0.0142515860484986
"586",585,"INSR",0.00809985835078361
