features,t2ds_pret2ds_pvalue,t2ds_no_t2ds_pvalue,pret2ds_no_t2ds_pvalue
age_v1,0.015960707409842935,9.004566925916088e-07,0.008823470549872077
hai_rl_v1,3.188558069569761e-06,6.013132676980754e-13,0.009737440638521498
fev1z_lk_v1,0.04130942490687636,0.004672475643358769,0.19060729518638267
inor_Tsadj_res_v1,0.4879508012158093,0.6253747814182747,0.08112892914423772
TSadj_BP_bcz_v1,0.4879508012158093,0.40243537378546934,0.08013851496572587
_BMI_logz_v1,0.022836816642023073,7.261433340367894e-07,5.5349698489102946e-18
_Pulsez_v1,0.38689042041967664,0.0003598506297716407,0.007893642524185271
_Waistz_v1,0.22052474496084123,5.841002725635139e-06,1.5557629214640995e-13
_dbp2z_v1,0.6551598277788772,0.17450879511714587,0.017253519693329795
_sbp2z_v1,0.6191191932121786,0.4094130317504173,0.014154896917032407
albz_v1,0.019558601329806476,0.015869229156739245,0.7473548220442532
animaltotz_v1,0.05575878824188507,0.272443961727962,0.4166318888978165
cholz_v1,0.09765939122586009,0.006402477853037784,0.26039948094303533
d2_logz_v1,0.18276464527763955,0.12252981980758806,0.7492713860338388
d3z_v1,0.8933205746772915,0.04112858194799692,0.000659915195398703
digitbwdtotz_v1,0.7037350827618197,0.4810557216066443,0.7661569432113696
digitfwdtotz_v1,0.23040052541469294,0.21233897642565086,0.3491742411766938
digitsymtotz_v1,0.7814868595071947,0.2732682255663936,0.7064591793423308
fev1z_v1,0.4769016720858721,0.007227337425050841,0.15212394110451488
fev1fvc_bcz_v1,0.16887561203626492,0.6770578222737516,0.1258466600538383
fev6z_v1,0.9360307205607952,0.024648922727405983,0.007753897733421593
gaitspeedz_v1,0.018701496562362866,0.00010452849919843838,0.6133353985872679
hscrp_logz_v1,0.021847612203255828,0.08889656087431083,8.626115360516931e-07
logmemdlydtotz_v1,0.5644825037884655,0.673173233365959,0.9099350401335436
logmemimtotz_v1,0.8400775758556747,0.5132540780156092,0.6288283821353785
mmsetot_bcz_v1,0.3577640169690616,0.5313350572962532,0.09658269427434903
ntbnpe_logz_v1,0.27527898237892867,0.019548360311007314,0.0005638518935725284
pp2z_v1,0.42793163679541346,0.47414389193412837,0.12248129472346347
stand5time_invnz_v1,0.10700073631321239,0.0008546548565050949,0.41902477993476483
tmpPPFEV1z_v1,0.22376337126712262,0.014097695825917154,0.1958584696416688
tmpPPFEV6z_v1,0.42793163679541346,0.00016223554398585183,0.00612199683959471
transferrin_invnz_v1,0.9676770721842997,0.1368979254935072,0.036425881309595225
weightz_v1,0.13363794198251344,5.6246345768917665e-05,6.486890557031635e-12
_totscorez_invn_v1,0.2450000162574027,0.002099381986133215,0.19579916586475493
creatr_bcz_invn_v1,0.5999385400746583,0.18378654710412845,0.26125207794228694
cysc_logz_invn_v1,0.30376235822428765,0.01704081022942168,0.06702852451718559
fvcz_invn_v1,0.8668653636305004,0.01660547442421399,0.007893377584105854
gripz_invn_v1,0.8884418550309717,0.0623988972637853,0.10880696166952529
abi_bcz_invn_v1,0.16887561203626492,0.32530083978755914,0.6026637618706466
armspan_bcz_invn_v1,0.4548053183547849,0.2147958422651012,0.06802269889759803
